year,month ,day,meanTemp,highTemp,highTempTime,lowTemp,lowTempTime,heatDegreeDays,coolDegreeDays,precip,meanWindSpeed_kmh,gustSpeed_kmh,timeGust,dominantWindDir
2005,8,2,20.7,25.9,12:00p,18.6,12:00m,0,2.3,0.3,1,7.6,8:00p,NW
2005,8,3,20.2,24.7,2:00p,17.8,6:00a,0.1,1.9,0.3,0.8,8.5,10:00p,NNW
2005,8,4,20.5,27.3,10:00a,18.1,6:00a,0,2.2,4.1,0.5,5.8,12:00m,N
2005,8,5,19.8,24.9,2:00p,17.2,12:00m,0.1,1.6,19,0.7,8.9,10:00p,NNW
2005,8,6,20.3,25.6,2:00p,16.7,4:00a,0.2,2.2,0,0.4,4.5,10:00a,N
2005,8,7,20.4,25.8,12:00p,18.1,2:00a,0,2.1,5.3,0.6,4.9,12:00p,NW
2005,8,8,20.1,26.3,12:00p,17.9,6:00a,0,1.8,14.2,0.7,7.2,4:00p,NNW
2005,8,9,20.3,26.3,2:00p,17.4,6:00a,0.1,2.1,0.3,0.1,4.5,2:00p,NNW
2005,8,10,19.9,26.2,12:00p,18.4,12:00m,0,1.6,19,0.6,6.3,10:00p,NNW
2005,8,11,20.3,24.9,12:00p,17.3,6:00a,0.1,2.1,11.7,0.5,5.4,10:00p,NNW
2005,8,12,19.3,23.8,4:00p,17.7,2:00a,0.1,1.1,43.4,0.7,4.9,4:00p,NNW
2005,8,13,20,25.1,12:00p,17.6,10:00p,0.2,1.8,14.7,0.4,4.5,4:00p,N
2005,8,14,18.9,24.4,2:00p,16.9,6:00a,0.5,1,50.3,1,7.2,6:00p,NNW
2005,8,15,19.9,24.7,10:00a,17.9,2:00a,0,1.6,8.6,0.4,4.9,4:00p,NNW
2005,8,16,18.8,22.3,10:00a,17.2,10:00p,0.3,0.8,11.4,0.4,5.8,8:00p,SSW
2005,8,17,19.4,23.7,12:00p,17.1,4:00a,0.2,1.4,16,0.6,5.4,12:00p,NNW
2005,8,18,18.9,22.3,2:00p,16.9,4:00a,0.3,0.8,2,0.3,4.5,2:00p,SSE
2005,8,19,20.7,27.1,2:00p,17.6,2:00a,0.1,2.4,0,0.8,4.9,10:00a,N
2005,8,20,20.4,26.4,2:00p,17.3,12:00m,0.1,2.2,12.7,0.8,5.8,12:00p,NNW
2005,8,21,19.6,23.2,12:00p,17.2,6:00a,0.1,1.4,2,0.7,5.4,8:00a,S
2005,8,22,19.1,23.4,2:00p,17.5,12:00m,0.3,1.1,4.6,0.8,5.8,2:00p,NNW
2005,8,23,19.6,24.4,12:00p,17.1,4:00a,0.2,1.6,5.3,0.6,5.4,10:00a,NNW
2005,8,24,19,22.9,10:00a,17.3,6:00a,0.2,0.9,97.3,0.9,6.3,10:00p,NNW
2005,8,25,20.1,25.7,10:00a,17.3,2:00a,0.1,1.8,1.5,0.4,3.6,2:00a,N
2005,8,26,19.2,25.8,12:00p,17.3,6:00a,0.1,1,5.6,0.8,7.2,2:00p,NNW
2005,8,27,19.3,26.1,12:00p,17,6:00a,0.3,1.3,21.8,0.4,3.6,8:00a,N
2005,8,28,19.1,23.8,12:00p,16.2,6:00p,0.5,1.2,23.4,1,8,4:00p,NNW
